Category: All categories

Day,gucci: (Worldwide)
2019-02-13,96
2019-02-14,98
2019-02-15,95
2019-02-16,100
2019-02-17,97
2019-02-18,75
2019-02-19,73
2019-02-20,75
2019-02-21,72
2019-02-22,70
2019-02-23,77
2019-02-24,80
2019-02-25,67
2019-02-26,65
2019-02-27,64
2019-02-28,64
2019-03-01,65
2019-03-02,72
2019-03-03,77
2019-03-04,68
2019-03-05,67
2019-03-06,66
2019-03-07,66
2019-03-08,68
2019-03-09,77
2019-03-10,76
2019-03-11,66
2019-03-12,62
2019-03-13,60
2019-03-14,63
2019-03-15,63
2019-03-16,73
2019-03-17,76
2019-03-18,64
2019-03-19,65
2019-03-20,65
2019-03-21,67
2019-03-22,68
2019-03-23,76
2019-03-24,77
2019-03-25,66
2019-03-26,65
2019-03-27,64
2019-03-28,64
2019-03-29,62
2019-03-30,76
2019-03-31,79
2019-04-01,62
2019-04-02,63
2019-04-03,62
2019-04-04,64
2019-04-05,65
2019-04-06,73
2019-04-07,77
2019-04-08,65
2019-04-09,62
2019-04-10,62
2019-04-11,61
2019-04-12,65
2019-04-13,72
2019-04-14,73
2019-04-15,63
2019-04-16,67
2019-04-17,62
2019-04-18,66
2019-04-19,68
2019-04-20,71
2019-04-21,73
2019-04-22,66
2019-04-23,65
2019-04-24,62
2019-04-25,63
2019-04-26,65
2019-04-27,71
2019-04-28,75
2019-04-29,64
2019-04-30,62
2019-05-01,68
2019-05-02,65
2019-05-03,66
2019-05-04,72
2019-05-05,75
2019-05-06,65
2019-05-07,64
2019-05-08,64
2019-05-09,62
2019-05-10,66
