,Day,chanel: (Worldwide),Unnamed: 2,refined
0,2018-12-01,54,,50.18666843360721
1,2018-12-02,56,,50.18467399946992
2,2018-12-03,51,,53.234024648820565
3,2018-12-04,47,,48.73768884177048
4,2018-12-05,51,,52.75809700503578
5,2018-12-06,49,,51.32187251523986
6,2018-12-07,48,,49.576974556056186
7,2018-12-08,60,,56.18666843360721
8,2018-12-09,60,,54.18467399946992
9,2018-12-10,53,,55.234024648820565
10,2018-12-11,51,,52.73768884177048
11,2018-12-12,50,,51.75809700503578
12,2018-12-13,50,,52.32187251523986
13,2018-12-14,52,,53.576974556056186
14,2018-12-15,61,,57.18666843360721
15,2018-12-16,63,,57.18467399946992
16,2018-12-17,57,,59.234024648820565
17,2018-12-18,55,,56.73768884177048
18,2018-12-19,53,,54.75809700503578
19,2018-12-20,54,,56.32187251523986
20,2018-12-21,54,,55.576974556056186
21,2018-12-22,62,,58.18666843360721
22,2018-12-23,64,,58.18467399946992
23,2018-12-24,56,,58.234024648820565
24,2018-12-25,61,,62.73768884177048
25,2018-12-26,57,,58.75809700503578
26,2018-12-27,52,,54.32187251523986
27,2018-12-28,50,,51.576974556056186
28,2018-12-29,53,,49.18666843360721
29,2018-12-30,56,,50.18467399946992
30,2018-12-31,47,,49.234024648820565
31,2019-01-01,45,,46.73768884177048
32,2019-01-02,44,,45.75809700503578
33,2019-01-03,43,,45.32187251523986
34,2019-01-04,44,,45.576974556056186
35,2019-01-05,49,,45.18666843360721
36,2019-01-06,49,,43.18467399946992
37,2019-01-07,41,,43.234024648820565
38,2019-01-08,39,,40.73768884177048
39,2019-01-09,40,,41.75809700503578
40,2019-01-10,40,,42.32187251523986
41,2019-01-11,42,,43.576974556056186
42,2019-01-12,47,,43.18666843360721
43,2019-01-13,47,,41.18467399946992
44,2019-01-14,42,,44.234024648820565
45,2019-01-15,39,,40.73768884177048
46,2019-01-16,42,,43.75809700503578
47,2019-01-17,39,,41.32187251523986
48,2019-01-18,42,,43.576974556056186
49,2019-01-19,47,,43.18666843360721
50,2019-01-20,49,,43.18467399946992
51,2019-01-21,43,,45.234024648820565
52,2019-01-22,42,,43.73768884177048
53,2019-01-23,41,,42.75809700503578
54,2019-01-24,40,,42.32187251523986
55,2019-01-25,42,,43.576974556056186
56,2019-01-26,48,,44.18666843360721
57,2019-01-27,50,,44.18467399946992
58,2019-01-28,41,,43.234024648820565
59,2019-01-29,39,,40.73768884177048
60,2019-01-30,41,,42.75809700503578
61,2019-01-31,39,,41.32187251523986
62,2019-02-01,40,,41.576974556056186
63,2019-02-02,43,,39.18666843360721
64,2019-02-03,48,,42.18467399946992
65,2019-02-04,39,,41.234024648820565
