,incomes,costs,profit
0,6622.223145648629,4233.826711888847,2388.3964337597818
1,6967.623145648628,7094.4331587287725,-126.81001308014402
2,6967.623145648628,7094.4331587287725,-126.81001308014402
3,7449.023145648628,7929.6745607082285,-480.65141505960037
4,7449.023145648628,13945.064918222877,-6496.041772574249
5,7449.023145648628,13945.064918222877,-6496.041772574249
6,7983.750975719699,13945.064918222877,-5961.313942503178
7,9434.5509757197,16792.402367265062,-7357.851391545362
8,9762.5509757197,18995.533047175628,-9232.982071455928
9,15951.641249758828,18995.533047175628,-3043.8917974168
10,17708.21712926868,18995.533047175628,-1287.315917906948
11,17844.34179073092,18995.533047175628,-1151.1912564447084
12,18842.34549399755,34359.01694890512,-15516.67145490757
13,24948.952746468905,40852.59857856652,-15903.645832097613
14,27749.56589272709,49639.960471718725,-21890.394578991636
15,35740.44490138683,49639.960471718725,-13899.515570331896
16,37440.68269699575,49639.960471718725,-12199.277774722977
17,37440.68269699575,52752.135028478595,-15311.452331482848
18,37440.68269699575,52752.135028478595,-15311.452331482848
19,37811.14998462123,56977.61483062349,-19166.464846002258
20,38120.60962962958,62258.15418967483,-24137.54456004525
21,38120.60962962958,76183.35337211093,-38062.74374248135
22,38120.60962962958,76183.35337211093,-38062.74374248135
23,44600.93143582721,76183.35337211093,-31582.421936283718
24,47944.346952140266,76183.35337211093,-28239.00641997066
25,49235.58602105741,78218.15361950314,-28982.567598445727
26,49659.35820374681,83041.95224564456,-33382.59404189775
27,56040.552510845395,85652.79060727578,-29612.23809643038
28,62841.22680859534,88150.08661621365,-25308.85980761831
29,63318.78337737808,92656.4723688535,-29337.68899147542
30,168871.51012969343,93307.63552956065,75563.87460013278
31,170151.9228845772,95949.91980338718,74202.00308119
32,175209.2244909067,97154.07932538753,78055.14516551916
33,178270.50490427954,98932.14856269548,79338.35634158406
34,178270.50490427954,98932.14856269548,79338.35634158406
35,186677.61253423005,98932.14856269548,87745.46397153457
36,186677.61253423005,102414.33560038797,84263.27693384208
37,187006.07545288917,107932.92921402364,79073.14623886553
38,187006.07545288917,109390.50733852824,77615.56811436093
39,187006.07545288917,110322.15035723215,76683.92509565702
40,187006.07545288917,110322.15035723215,76683.92509565702
41,187006.07545288917,110322.15035723215,76683.92509565702
42,196047.39122499447,110322.15035723215,85725.24086776232
43,196047.39122499447,111453.94966841227,84593.4415565822
44,205226.05710817268,111453.94966841227,93772.10743976041
45,221379.7331382077,120762.93697634575,100616.79616186194
46,221379.7331382077,124525.55404970182,96854.17908850587
47,222132.13226807155,128447.11620257111,93685.01606550044
48,222132.13226807155,128447.11620257111,93685.01606550044
49,222132.13226807155,128447.11620257111,93685.01606550044
50,222132.13226807155,131712.96128496225,90419.1709831093
51,222627.0171996867,137296.76108969722,85330.25610998948
52,222627.0171996867,139176.7328001004,83450.2843995863
53,222627.0171996867,139176.7328001004,83450.2843995863
54,222627.0171996867,143535.41970348425,79091.59749620245
55,222870.67570477488,149662.2688122798,73208.40689249508
56,222870.67570477488,152922.69566591925,69947.98003885563
57,222870.67570477488,156392.4175400054,66478.25816476948
58,223240.8399723649,165316.95138507526,57923.888587289635
59,223541.41466746145,170597.80758135175,52943.607086109696
60,257576.95481457445,170597.80758135175,86979.1472332227
61,258584.59534110365,170597.80758135175,87986.7877597519
62,276630.38058146834,172798.14396327655,103832.23661819179
63,283298.6719537364,175755.8169797667,107542.85497396969
64,283298.6719537364,176153.8073607943,107144.86459294209
65,297056.57930088893,181365.68459797418,115690.89470291475
66,297056.57930088893,184229.58811441294,112826.99118647599
67,297056.57930088893,184229.58811441294,112826.99118647599
68,327252.5356418247,184229.58811441294,143022.94752741177
69,327641.30718441884,188535.93225163023,139105.3749327886
70,331519.7685790183,200681.60875459216,130838.15982442614
71,352678.78806329396,202899.93631598048,149778.85174731349
72,354682.61182362575,210369.84431909333,144312.7675045324
73,354682.61182362575,213408.75641249624,141273.8554111295
74,369731.2024194368,215594.9202363176,154136.28218311924
75,370510.12203061365,215594.9202363176,154915.20179429607
76,371736.7204586171,217380.9862252302,154355.73423338687
77,371736.7204586171,222094.76445712894,149641.95600148814
78,371736.7204586171,222094.76445712894,149641.95600148814
79,371736.7204586171,225640.1736450058,146096.5468136113
80,371736.7204586171,225640.1736450058,146096.5468136113
81,371736.7204586171,225640.1736450058,146096.5468136113
82,385644.4165533694,232643.08900896957,153001.3275443998
83,386498.0226860946,232643.08900896957,153854.93367712505
84,386498.0226860946,235655.2009577947,150842.82172829992
85,386498.0226860946,235655.2009577947,150842.82172829992
86,386498.0226860946,237060.80643106857,149437.21625502605
87,386498.0226860946,237970.0095753125,148528.01311078214
88,387800.62908908003,237970.0095753125,149830.61951376754
89,387800.62908908003,237970.0095753125,149830.61951376754
90,412147.4251902871,241183.37728065328,170964.04790963384
91,412147.4251902871,241183.37728065328,170964.04790963384
92,412147.4251902871,241183.37728065328,170964.04790963384
93,418873.07013650384,243303.19778798873,175569.8723485151
94,418873.07013650384,243303.19778798873,175569.8723485151
95,419776.2568518856,249725.260732779,170050.9961191066
96,419776.2568518856,249725.260732779,170050.9961191066
97,419776.2568518856,249725.260732779,170050.9961191066
98,419776.2568518856,252554.85098848765,167221.40586339793
99,440772.560668398,255871.12386849103,184901.43679990695
100,440772.560668398,255871.12386849103,184901.43679990695
